mean_age (kr BP),deltaD,d18O,,high end T,low end T,,,precipitation_temperature,d18O_permil
0.07,-391.2,-49.988095,,-49.841371,-50.134819,,,-49.470199,-47.593897
0.1385,-396.49,-50.617857,,-50.471133,-50.764581,,,-41.931567,-41.59331
0.2155,-398.19,-50.820238,,-50.673514,-50.966962,,,-30.662252,-33.971538
0.2945,-398.11,-50.810714,,-50.66399,-50.957438,,,-28.543046,-33.546068
0.374775,-400.07,-51.044048,,-50.897324,-51.190772,,,-24.392936,-30.435739
0.460325,-398.49,-50.855952,,-50.709228,-51.002676,,,-24.392936,-29.306045
0.549875,-397.83,-50.777381,,-50.630657,-50.924105,,,-21.423841,-28.462441
0.639625,-394.86,-50.42381,,-50.277086,-50.570533,,,-19.613687,-27.824237
0.730425,-400.54,-51.1,,-50.953276,-51.246724,,,-17.494481,-24.508509
0.821825,-392.33,-50.122619,,-49.975895,-50.269343,,,-15.573951,-23.444836
0.915575,-398.81,-50.894048,,-50.747324,-51.040772,,,-7.8256071,-17.517606
1.014775,-396.96,-50.67381,,-50.527086,-50.820533,,,-4.4260486,-17.231514
1.114175,-396.37,-50.603571,,-50.456848,-50.750295,,,-7.7152318,-13.350939
1.212525,-393.51,-50.263095,,-50.116371,-50.409819,,,0.46357616,-14.620012
1.310125,-394.3,-50.357143,,-50.210419,-50.503867,,,0.04415011,-12.786092
1.410575,-395.44,-50.492857,,-50.346133,-50.639581,,,1.9536424,-11.58304
1.516875,-396.86,-50.661905,,-50.515181,-50.808629,,,8.7527594,-9.4630282
1.625275,-397.49,-50.736905,,-50.590181,-50.883629,,,10.662252,-7.0642606
1.73635,-397.54,-50.742857,,-50.596133,-50.889581,,,12.582781,-5.2963615
1.85245,-396.51,-50.620238,,-50.473514,-50.766962,,,12.472406,-2.6848592
1.9719,-397.89,-50.784524,,-50.6378,-50.931248,,,23.84106,-0.71156103
2.09265,-396.96,-50.67381,,-50.527086,-50.820533,,,,
2.21535,-396.97,-50.675,,-50.528276,-50.821724,,,,
2.3434,-402.41,-51.322619,,-51.175895,-51.469343,,,,
2.4746,-397.01,-50.679762,,-50.533038,-50.826486,,,,
2.60415,-395.1,-50.452381,,-50.305657,-50.599105,,,,
2.7293,-393.74,-50.290476,,-50.143752,-50.4372,,,,
2.84885,-393.96,-50.316667,,-50.169943,-50.463391,,,,
2.970225,-396.33,-50.59881,,-50.452086,-50.745533,,,,
3.094375,-395.95,-50.553571,,-50.406848,-50.700295,,,,
3.221425,-399.5,-50.97619,,-50.829467,-51.122914,,,,
3.351975,-397.56,-50.745238,,-50.598514,-50.891962,,,,
3.478525,-394.81,-50.417857,,-50.271133,-50.564581,,,,
3.601225,-393.87,-50.305952,,-50.159228,-50.452676,,,,
3.723125,-393.87,-50.305952,,-50.159228,-50.452676,,,,
3.850125,-396.24,-50.588095,,-50.441371,-50.734819,,,,
3.98285,-394.44,-50.37381,,-50.227086,-50.520533,,,,
4.1176,-395.27,-50.472619,,-50.325895,-50.619343,,,,
4.251,-395.2,-50.464286,,-50.317562,-50.61101,,,,
4.38155,-395,-50.440476,,-50.293752,-50.5872,,,,
4.5154,-396.2,-50.583333,,-50.436609,-50.730057,,,,
4.6535,-396.91,-50.667857,,-50.521133,-50.814581,,,,
4.78995,-395.27,-50.472619,,-50.325895,-50.619343,,,,
4.92605,-396.07,-50.567857,,-50.421133,-50.714581,,,,
5.06145,-394.1,-50.333333,,-50.186609,-50.480057,,,,
5.19805,-395.53,-50.503571,,-50.356848,-50.650295,,,,
5.338825,-399.23,-50.944048,,-50.797324,-51.090772,,,,
5.478925,-396.94,-50.671429,,-50.524705,-50.818152,,,,
5.61645,-395.29,-50.475,,-50.328276,-50.621724,,,,
5.7526,-393.1,-50.214286,,-50.067562,-50.36101,,,,
5.89245,-397.51,-50.739286,,-50.592562,-50.88601,,,,
6.0331,-396.41,-50.608333,,-50.461609,-50.755057,,,,
6.172525,-397.56,-50.745238,,-50.598514,-50.891962,,,,
6.315525,-397.54,-50.742857,,-50.596133,-50.889581,,,,
6.459325,-400.19,-51.058333,,-50.911609,-51.205057,,,,
6.605225,-398.03,-50.80119,,-50.654467,-50.947914,,,,
6.7523,-396.24,-50.588095,,-50.441371,-50.734819,,,,
6.89705,-398.96,-50.911905,,-50.765181,-51.058629,,,,
7.0464,-402.01,-51.275,,-51.128276,-51.421724,,,,
7.19935,-398.9,-50.904762,,-50.758038,-51.051486,,,,
7.3526,-402.39,-51.320238,,-51.173514,-51.466962,,,,
7.5007,-395.3,-50.47619,,-50.329467,-50.622914,,,,
7.6449,-397.46,-50.733333,,-50.586609,-50.880057,,,,
7.7922,-398.07,-50.805952,,-50.659228,-50.952676,,,,
7.940075,-400.49,-51.094048,,-50.947324,-51.240772,,,,
8.092125,-404.27,-51.544048,,-51.397324,-51.690772,,,,
8.247775,-400.67,-51.115476,,-50.968752,-51.2622,,,,
8.401725,-401.09,-51.165476,,-51.018752,-51.3122,,,,
8.55175,-398.37,-50.841667,,-50.694943,-50.988391,,,,
8.7002,-398.94,-50.909524,,-50.7628,-51.056248,,,,
8.850975,-398.61,-50.870238,,-50.723514,-51.016962,,,,
9.000225,-396.29,-50.594048,,-50.447324,-50.740772,,,,
9.150525,-398.83,-50.896429,,-50.749705,-51.043152,,,,
9.300325,-394.07,-50.329762,,-50.183038,-50.476486,,,,
9.444125,-392.28,-50.116667,,-49.969943,-50.263391,,,,
9.588325,-394.63,-50.396429,,-50.249705,-50.543152,,,,
9.731575,-391.67,-50.044048,,-49.897324,-50.190772,,,,
9.870475,-391.3,-50,,-49.853276,-50.146724,,,,
10.0096,-393.06,-50.209524,,-50.0628,-50.356248,,,,
10.1507,-392.03,-50.086905,,-49.940181,-50.233629,,,,
10.2898,-389.14,-49.742857,,-49.596133,-49.889581,,,,
10.4295,-393.5,-50.261905,,-50.115181,-50.408629,,,,
10.57305,-392.61,-50.155952,,-50.009228,-50.302676,,,,
10.71465,-388.41,-49.655952,,-49.509228,-49.802676,,,,
10.85765,-392.41,-50.132143,,-49.985419,-50.278867,,,,
11.00795,-392.94,-50.195238,,-50.048514,-50.341962,,,,
11.1603,-394.27,-50.353571,,-50.206848,-50.500295,,,,
11.3117,-392.01,-50.084524,,-49.9378,-50.231248,,,,
11.4622,-391.79,-50.058333,,-49.911609,-50.205057,,,,
11.61145,-391.8,-50.059524,,-49.9128,-50.206248,,,,
11.76055,-390.56,-49.911905,,-49.765181,-50.058629,,,,
11.9126,-393.01,-50.203571,,-50.056848,-50.350295,,,,
12.06535,-392.4,-50.130952,,-49.984228,-50.277676,,,,
12.22285,-398.23,-50.825,,-50.678276,-50.971724,,,,
12.3917,-401.76,-51.245238,,-51.098514,-51.391962,,,,
12.57,-407.2,-51.892857,,-51.746133,-52.039581,,,,
12.7556,-409.31,-52.144048,,-51.997324,-52.290772,,,,
12.9491,-412.14,-52.480952,,-52.334228,-52.627676,,,,
13.15405,-415.66,-52.9,,-52.753276,-53.046724,,,,
13.36375,-415.1,-52.833333,,-52.686609,-52.980057,,,,
13.5717,-414.1,-52.714286,,-52.567562,-52.86101,,,,
13.77265,-410.77,-52.317857,,-52.171133,-52.464581,,,,
13.97065,-413.57,-52.65119,,-52.504467,-52.797914,,,,
14.1747,-414.96,-52.816667,,-52.669943,-52.963391,,,,
14.3819,-411.74,-52.433333,,-52.286609,-52.580057,,,,
14.58345,-407.67,-51.94881,,-51.802086,-52.095533,,,,
14.7752,-402.99,-51.391667,,-51.244943,-51.538391,,,,
14.96445,-404.94,-51.62381,,-51.477086,-51.770533,,,,
15.1638,-410.74,-52.314286,,-52.167562,-52.46101,,,,
15.37505,-412.16,-52.483333,,-52.336609,-52.630057,,,,
15.5827,-410.93,-52.336905,,-52.190181,-52.483629,,,,
15.79145,-413.19,-52.605952,,-52.459228,-52.752676,,,,
16.01365,-418.67,-53.258333,,-53.111609,-53.405057,,,,
16.24085,-418.26,-53.209524,,-53.0628,-53.356248,,,,
16.4712,-418.99,-53.296429,,-53.149705,-53.443152,,,,
16.7139,-423.57,-53.841667,,-53.694943,-53.988391,,,,
16.9688,-423.94,-53.885714,,-53.73899,-54.032438,,,,
17.22905,-428.26,-54.4,,-54.253276,-54.546724,,,,
17.5006,-433.73,-55.05119,,-54.904467,-55.197914,,,,
17.78835,-433.81,-55.060714,,-54.91399,-55.207438,,,,
18.0888,-438.79,-55.653571,,-55.506848,-55.800295,,,,
18.40455,-439.89,-55.784524,,-55.6378,-55.931248,,,,
18.7296,-441.44,-55.969048,,-55.822324,-56.115772,,,,
19.05815,-441.93,-56.027381,,-55.880657,-56.174105,,,,
19.39015,-440.89,-55.903571,,-55.756848,-56.050295,,,,
19.72225,-442.46,-56.090476,,-55.943752,-56.2372,,,,
20.05175,-439.79,-55.772619,,-55.625895,-55.919343,,,,
20.38725,-443.77,-56.246429,,-56.099705,-56.393152,,,,
20.7281,-441.41,-55.965476,,-55.818752,-56.1122,,,,
21.05785,-441.4,-55.964286,,-55.817562,-56.11101,,,,
21.3803,-442.01,-56.036905,,-55.890181,-56.183629,,,,
21.70705,-442.31,-56.072619,,-55.925895,-56.219343,,,,
22.0387,-441.83,-56.015476,,-55.868752,-56.1622,,,,
22.3696,-441.11,-55.929762,,-55.783038,-56.076486,,,,
22.69305,-440.2,-55.821429,,-55.674705,-55.968152,,,,
23.02165,-443.51,-56.215476,,-56.068752,-56.3622,,,,
23.35435,-440.17,-55.817857,,-55.671133,-55.964581,,,,
23.68885,-442.79,-56.129762,,-55.983038,-56.276486,,,,
24.0211,-439.33,-55.717857,,-55.571133,-55.864581,,,,
24.3445,-439.47,-55.734524,,-55.5878,-55.881248,,,,
24.673,-443.17,-56.175,,-56.028276,-56.321724,,,,
25.00815,-442.99,-56.153571,,-56.006848,-56.300295,,,,
25.346,-443.47,-56.210714,,-56.06399,-56.357438,,,,
25.68685,-444.5,-56.333333,,-56.186609,-56.480057,,,,
26.0329,-445.16,-56.411905,,-56.265181,-56.558629,,,,
26.3765,-444.66,-56.352381,,-56.205657,-56.499105,,,,
26.7171,-443.97,-56.270238,,-56.123514,-56.416962,,,,
27.0574,-444.24,-56.302381,,-56.155657,-56.449105,,,,
27.3985,-444.6,-56.345238,,-56.198514,-56.491962,,,,
27.7383,-443.81,-56.25119,,-56.104467,-56.397914,,,,
28.0664,-439,-55.678571,,-55.531848,-55.825295,,,,
28.3865,-437.79,-55.534524,,-55.3878,-55.681248,,,,
28.71725,-443.73,-56.241667,,-56.094943,-56.388391,,,,
29.04845,-437.46,-55.495238,,-55.348514,-55.641962,,,,
29.37085,-440.43,-55.84881,,-55.702086,-55.995533,,,,
29.68055,-435.89,-55.308333,,-55.161609,-55.455057,,,,
29.97775,-437.13,-55.455952,,-55.309228,-55.602676,,,,
30.28765,-439.87,-55.782143,,-55.635419,-55.928867,,,,
30.6151,-442.47,-56.091667,,-55.944943,-56.238391,,,,
30.9568,-440.91,-55.905952,,-55.759228,-56.052676,,,,
31.2925,-438.43,-55.610714,,-55.46399,-55.757438,,,,
31.62345,-444.04,-56.278571,,-56.131848,-56.425295,,,,
31.9551,-441.71,-56.00119,,-55.854467,-56.147914,,,,
32.26735,-435.11,-55.215476,,-55.068752,-55.3622,,,,
32.57495,-437.73,-55.527381,,-55.380657,-55.674105,,,,
32.89395,-441.66,-55.995238,,-55.848514,-56.141962,,,,
33.21825,-438.54,-55.62381,,-55.477086,-55.770533,,,,
33.53145,-434.86,-55.185714,,-55.03899,-55.332438,,,,
33.8472,-438.4,-55.607143,,-55.460419,-55.753867,,,,
34.1882,-442.99,-56.153571,,-56.006848,-56.300295,,,,
34.52375,-438.61,-55.632143,,-55.485419,-55.778867,,,,
34.83225,-434.8,-55.178571,,-55.031848,-55.325295,,,,
35.1354,-433.37,-55.008333,,-54.861609,-55.155057,,,,
35.4442,-435.43,-55.253571,,-55.106848,-55.400295,,,,
35.7602,-436.67,-55.40119,,-55.254467,-55.547914,,,,
36.0813,-437.91,-55.54881,,-55.402086,-55.695533,,,,
36.39865,-435.79,-55.296429,,-55.149705,-55.443152,,,,
36.7175,-436.7,-55.404762,,-55.258038,-55.551486,,,,
37.0297,-431.8,-54.821429,,-54.674705,-54.968152,,,,
37.32585,-429.71,-54.572619,,-54.425895,-54.719343,,,,
37.6065,-422.69,-53.736905,,-53.590181,-53.883629,,,,
37.888,-429.23,-54.515476,,-54.368752,-54.6622,,,,
38.1756,-427.01,-54.25119,,-54.104467,-54.397914,,,,
38.462,-428.13,-54.384524,,-54.2378,-54.531248,,,,
38.75265,-429.96,-54.602381,,-54.455657,-54.749105,,,,
39.0628,-436.94,-55.433333,,-55.286609,-55.580057,,,,
39.3998,-439.01,-55.679762,,-55.533038,-55.826486,,,,
39.73805,-435.83,-55.30119,,-55.154467,-55.447914,,,,
40.07405,-436.29,-55.355952,,-55.209228,-55.502676,,,,
40.42715,-439.01,-55.679762,,-55.533038,-55.826486,,,,
40.77695,-433.14,-54.980952,,-54.834228,-55.127676,,,,
41.11305,-436.27,-55.353571,,-55.206848,-55.500295,,,,
41.46315,-440.27,-55.829762,,-55.683038,-55.976486,,,,
41.8213,-437.61,-55.513095,,-55.366371,-55.659819,,,,
42.15615,-435.24,-55.230952,,-55.084228,-55.377676,,,,
42.4728,-430.01,-54.608333,,-54.461609,-54.755057,,,,
42.80075,-431.91,-54.834524,,-54.6878,-54.981248,,,,
43.14855,-434.8,-55.178571,,-55.031848,-55.325295,,,,
43.49745,-438.2,-55.583333,,-55.436609,-55.730057,,,,
43.83125,-437.13,-55.455952,,-55.309228,-55.602676,,,,
44.1572,-435.38,-55.247619,,-55.100895,-55.394343,,,,
44.4759,-431.54,-54.790476,,-54.643752,-54.9372,,,,
44.7794,-427.74,-54.338095,,-54.191371,-54.484819,,,,
45.0652,-425.2,-54.035714,,-53.88899,-54.182438,,,,
45.34305,-422.31,-53.691667,,-53.544943,-53.838391,,,,
45.61715,-421.87,-53.639286,,-53.492562,-53.78601,,,,
45.888,-420.64,-53.492857,,-53.346133,-53.639581,,,,
46.1703,-426.87,-54.234524,,-54.0878,-54.381248,,,,
46.4633,-426.75,-54.220238,,-54.073514,-54.366962,,,,
46.7624,-428.57,-54.436905,,-54.290181,-54.583629,,,,
47.08025,-434.26,-55.114286,,-54.967562,-55.26101,,,,
47.40755,-433.1,-54.97619,,-54.829467,-55.122914,,,,
47.73395,-434.46,-55.138095,,-54.991371,-55.284819,,,,
48.0609,-432.6,-54.916667,,-54.769943,-55.063391,,,,
48.3903,-434.55,-55.14881,,-55.002086,-55.295533,,,,
48.71695,-430.93,-54.717857,,-54.571133,-54.864581,,,,
49.0355,-431.63,-54.80119,,-54.654467,-54.947914,,,,
49.3525,-430.34,-54.647619,,-54.500895,-54.794343,,,,
49.67005,-431.57,-54.794048,,-54.647324,-54.940772,,,,
49.99005,-431.76,-54.816667,,-54.669943,-54.963391,,,,
50.3069,-428.62,-54.442857,,-54.296133,-54.589581,,,,
50.6139,-428.11,-54.382143,,-54.235419,-54.528867,,,,
50.9109,-424.26,-53.92381,,-53.777086,-54.070533,,,,
51.2085,-426.9,-54.238095,,-54.091371,-54.384819,,,,
51.5064,-423.52,-53.835714,,-53.68899,-53.982438,,,,
51.7983,-424.31,-53.929762,,-53.783038,-54.076486,,,,
52.0805,-418.6,-53.25,,-53.103276,-53.396724,,,,
52.3682,-426.33,-54.170238,,-54.023514,-54.316962,,,,
52.66985,-425.17,-54.032143,,-53.885419,-54.178867,,,,
52.972,-425.59,-54.082143,,-53.935419,-54.228867,,,,
53.2886,-432.05,-54.85119,,-54.704467,-54.997914,,,,
53.60785,-427.04,-54.254762,,-54.108038,-54.401486,,,,
53.9208,-428.69,-54.45119,,-54.304467,-54.597914,,,,
54.2463,-431.83,-54.825,,-54.678276,-54.971724,,,,
54.58505,-434.26,-55.114286,,-54.967562,-55.26101,,,,
54.92145,-430.36,-54.65,,-54.503276,-54.796724,,,,
55.24585,-429.02,-54.490476,,-54.343752,-54.6372,,,,
55.55615,-424.81,-53.989286,,-53.842562,-54.13601,,,,
55.8552,-423.65,-53.85119,,-53.704467,-53.997914,,,,
56.1566,-424.34,-53.933333,,-53.786609,-54.080057,,,,
56.4612,-425.1,-54.02381,,-53.877086,-54.170533,,,,
56.756,-420.24,-53.445238,,-53.298514,-53.591962,,,,
57.04045,-419.97,-53.413095,,-53.266371,-53.559819,,,,
57.32855,-421.63,-53.610714,,-53.46399,-53.757438,,,,
57.6231,-421.59,-53.605952,,-53.459228,-53.752676,,,,
57.92395,-424.48,-53.95,,-53.803276,-54.096724,,,,
58.22965,-423.76,-53.864286,,-53.717562,-54.01101,,,,
58.5462,-428.73,-54.455952,,-54.309228,-54.602676,,,,
58.87165,-427.67,-54.329762,,-54.183038,-54.476486,,,,
59.1976,-428.02,-54.371429,,-54.224705,-54.518152,,,,
59.5287,-429.61,-54.560714,,-54.41399,-54.707438,,,,
59.86925,-431.78,-54.819048,,-54.672324,-54.965772,,,,
60.22425,-434.73,-55.170238,,-55.023514,-55.316962,,,,
60.59335,-437.01,-55.441667,,-55.294943,-55.588391,,,,
60.97455,-438.3,-55.595238,,-55.448514,-55.741962,,,,
61.37215,-442.67,-56.115476,,-55.968752,-56.2622,,,,
61.76645,-437.38,-55.485714,,-55.33899,-55.632438,,,,
62.1391,-434.3,-55.119048,,-54.972324,-55.265772,,,,
62.5179,-438.53,-55.622619,,-55.475895,-55.769343,,,,
62.91515,-440.55,-55.863095,,-55.716371,-56.009819,,,,
63.31265,-438.62,-55.633333,,-55.486609,-55.780057,,,,
63.7145,-441.4,-55.964286,,-55.817562,-56.11101,,,,
64.1311,-443.41,-56.203571,,-56.056848,-56.350295,,,,
64.54825,-442.02,-56.038095,,-55.891371,-56.184819,,,,
64.96035,-441.36,-55.959524,,-55.8128,-56.106248,,,,
